Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,ResponsesQuantised
6010052,WillingnesstoTryagainLikert,Neutral,3004.mp4,NAHA,1000,NALA3,NALA3_WillingnesstoTryagainLikert,4
6010052,WillingnesstoTryagainLikert,Unlikely,3000.mp4,NAHA,1001,NALA1,NALA1_WillingnesstoTryagainLikert,2
6010052,WillingnesstoTryagainLikert,Neutral,3008.mp4,NAHA,1004,NALA5,NALA5_WillingnesstoTryagainLikert,4
6010052,WillingnesstoTryagainLikert,Neutral,1005.mp4,NAHA,1005,NAHA4,NAHA4_WillingnesstoTryagainLikert,4
6010052,WillingnesstoTryagainLikert,Somewhat unlikely,1008.mp4,NAHA,1006,NAHA6,NAHA6_WillingnesstoTryagainLikert,3
6010052,WillingnesstoTryagainLikert,Likely,3007.mp4,NAHA,1008,NALA4,NALA4_WillingnesstoTryagainLikert,6
6010052,WillingnesstoTryagainLikert,Likely,3002.mp4,NALA,3000,NALA2,NALA2_WillingnesstoTryagainLikert,6
6010052,WillingnesstoTryagainLikert,Unlikely,1000.mp4,NALA,3002,NAHA1,NAHA1_WillingnesstoTryagainLikert,2
6010052,WillingnesstoTryagainLikert,Very Unlikely,1004.mp4,NALA,3004,NAHA3,NAHA3_WillingnesstoTryagainLikert,1
6010052,WillingnesstoTryagainLikert,Not at all likely,1006.mp4,NALA,3007,NAHA5,NAHA5_WillingnesstoTryagainLikert,0
6010052,WillingnesstoTryagainLikert,Likely,3009.mp4,NALA,3008,NALA6,NALA6_WillingnesstoTryagainLikert,6
6010052,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NALA,3009,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6010231,WillingnesstoTryagainLikert,Unlikely,1006.mp4,NAHA,1000,NAHA5,NAHA5_WillingnesstoTryagainLikert,2
6010231,WillingnesstoTryagainLikert,Somewhat likely,3000.mp4,NAHA,1001,NALA1,NALA1_WillingnesstoTryagainLikert,5
6010231,WillingnesstoTryagainLikert,Likely,3009.mp4,NAHA,1004,NALA6,NALA6_WillingnesstoTryagainLikert,6
6010231,WillingnesstoTryagainLikert,Neutral,3008.mp4,NAHA,1005,NALA5,NALA5_WillingnesstoTryagainLikert,4
6010231,WillingnesstoTryagainLikert,Unlikely,1004.mp4,NAHA,1006,NAHA3,NAHA3_WillingnesstoTryagainLikert,2
6010231,WillingnesstoTryagainLikert,Somewhat likely,3007.mp4,NAHA,1008,NALA4,NALA4_WillingnesstoTryagainLikert,5
6010231,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NALA,3000,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6010231,WillingnesstoTryagainLikert,Neutral,1005.mp4,NALA,3002,NAHA4,NAHA4_WillingnesstoTryagainLikert,4
6010231,WillingnesstoTryagainLikert,Neutral,3004.mp4,NALA,3004,NALA3,NALA3_WillingnesstoTryagainLikert,4
6010231,WillingnesstoTryagainLikert,Somewhat likely,3002.mp4,NALA,3007,NALA2,NALA2_WillingnesstoTryagainLikert,5
6010231,WillingnesstoTryagainLikert,Very Unlikely,1008.mp4,NALA,3008,NAHA6,NAHA6_WillingnesstoTryagainLikert,1
