Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,Responses Quantised
6005725,WillingnesstoTryagainLikert,Likely,3000.mp4,NALA,3002,NALA1,NALA1_WillingnesstoTryagainLikert,6
6005725,WillingnesstoTryagainLikert,Very Unlikely,1006.mp4,NALA,3004,NAHA5,NAHA5_WillingnesstoTryagainLikert,1
6005725,WillingnesstoTryagainLikert,Very Likely,3007.mp4,NALA,3007,NALA4,NALA4_WillingnesstoTryagainLikert,7
6005725,WillingnesstoTryagainLikert,Likely,1008.mp4,NALA,3008,NAHA6,NAHA6_WillingnesstoTryagainLikert,6
6005725,WillingnesstoTryagainLikert,Very Likely,3002.mp4,NALA,3009,NALA2,NALA2_WillingnesstoTryagainLikert,7
6006510,Effortlikert,Somewhat Agree,3008.mp4,NAHA,1000,NALA5,NALA5_Effortlikert,5
6006510,Successlikert,Strongly Agree,3008.mp4,NAHA,1000,NALA5,NALA5_Successlikert,7
6006510,Effortlikert,Strongly Agree,3009.mp4,NAHA,1001,NALA6,NALA6_Effortlikert,7
6006510,Successlikert,Strongly Agree,3009.mp4,NAHA,1001,NALA6,NALA6_Successlikert,7
6006510,Effortlikert,Strongly Agree,3000.mp4,NAHA,1004,NALA1,NALA1_Effortlikert,7
6006510,Successlikert,Not at all,3000.mp4,NAHA,1004,NALA1,NALA1_Successlikert,0
6006510,Effortlikert,Disagree,1005.mp4,NAHA,1005,NAHA4,NAHA4_Effortlikert,2
6006510,Successlikert,Somewhat Disagree,1005.mp4,NAHA,1005,NAHA4,NAHA4_Successlikert,3
6006510,Effortlikert,Strongly Agree,3007.mp4,NAHA,1006,NALA4,NALA4_Effortlikert,7
6006510,Successlikert,Somewhat Disagree,3007.mp4,NAHA,1006,NALA4,NALA4_Successlikert,3
6006510,Effortlikert,Not at all,1006.mp4,NAHA,1008,NAHA5,NAHA5_Effortlikert,0
6006510,Successlikert,Agree,1006.mp4,NAHA,1008,NAHA5,NAHA5_Successlikert,6
6006510,Effortlikert,Not at all,1008.mp4,NALA,3000,NAHA6,NAHA6_Effortlikert,0
6006510,Successlikert,Not at all,1008.mp4,NALA,3000,NAHA6,NAHA6_Successlikert,0
6006510,Effortlikert,Not at all,1000.mp4,NALA,3002,NAHA1,NAHA1_Effortlikert,0
6006510,Successlikert,Not at all,1000.mp4,NALA,3002,NAHA1,NAHA1_Successlikert,0
6006510,Effortlikert,Not at all,3002.mp4,NALA,3004,NALA2,NALA2_Effortlikert,0
6006510,Successlikert,Disagree,3002.mp4,NALA,3004,NALA2,NALA2_Successlikert,2
6006510,Effortlikert,Somewhat Disagree,1004.mp4,NALA,3007,NAHA3,NAHA3_Effortlikert,3
6006510,Successlikert,Somewhat Disagree,1004.mp4,NALA,3007,NAHA3,NAHA3_Successlikert,3
6006510,Effortlikert,Strongly Agree,3004.mp4,NALA,3008,NALA3,NALA3_Effortlikert,7
6006510,Successlikert,Strongly Agree,3004.mp4,NALA,3008,NALA3,NALA3_Successlikert,7
6006510,Effortlikert,Not at all,1001.mp4,NALA,3009,NAHA2,NAHA2_Effortlikert,0
6006510,Successlikert,Not at all,1001.mp4,NALA,3009,NAHA2,NAHA2_Successlikert,0
6006510,WillingnesstoTryagainLikert,Very Likely,3008.mp4,NAHA,1000,NALA5,NALA5_WillingnesstoTryagainLikert,7
6006510,WillingnesstoTryagainLikert,Very Likely,3009.mp4,NAHA,1001,NALA6,NALA6_WillingnesstoTryagainLikert,7
6006510,WillingnesstoTryagainLikert,Very Likely,3000.mp4,NAHA,1004,NALA1,NALA1_WillingnesstoTryagainLikert,7
6006510,WillingnesstoTryagainLikert,Not at all likely,1005.mp4,NAHA,1005,NAHA4,NAHA4_WillingnesstoTryagainLikert,0
6006510,WillingnesstoTryagainLikert,Somewhat likely,3007.mp4,NAHA,1006,NALA4,NALA4_WillingnesstoTryagainLikert,5
